training_completed,business_division,department,engagement_score,tenure,leadership_score,overtime,incidents,duration_elearning,time_in_title,delta_trainings_last_year,risk_of_leaving,leadership_score2,date,id
1,IB,QHA,3.0,7.0,5.273353835149509,36.0,1.0,70.0,11.0,6.0,0.43157254480001855,-0.8842768927711238,2019-03-31,15
0,WM,GHL,3.0,9.0,6.023704110529995,44.0,1.0,124.0,20.0,4.0,0.3930822059199579,0.17480506416502384,2019-01-17,16
1,AM,GHL,4.0,8.0,4.542118349726367,54.0,2.0,73.0,20.0,7.0,0.22102569193493737,-1.9163792778743924,2019-01-09,17
1,WM,HDO,2.0,6.0,5.905680253578169,16.0,1.0,75.0,16.0,7.0,0.46187799383561884,0.008220281714843347,2019-01-11,18
1,IB,ADC,3.0,10.0,5.599742817747391,37.0,1.0,98.0,15.0,5.0,0.5621474631270414,-0.4235951368580203,2019-03-27,19
1,WM,ZEF,3.0,7.0,5.831318867041185,49.0,1.0,56.0,15.0,6.0,0.40212698337330605,-0.096737103333279,2019-01-24,20
0,SB,HDO,4.0,7.0,5.25641232077007,51.0,1.0,166.0,12.0,3.0,0.45317075915001737,-0.9081889946136117,2019-02-02,21
1,SB,NAP,3.0,11.0,6.088412856505207,44.0,1.0,81.0,14.0,5.0,0.47094574721516125,0.26613822891073036,2019-01-07,22
1,SB,NAP,4.0,11.0,5.007589901410162,53.0,1.0,56.0,16.0,4.0,0.2467454706626803,-1.2593894185644818,2019-02-02,23
1,SB,AML,3.0,12.0,6.742105616990762,40.0,1.0,149.0,11.0,3.0,0.6984567642497798,1.188792928622776,2019-01-01,24
0,AM,ZEF,4.0,11.0,3.990172382272711,57.0,1.0,156.0,16.0,3.0,0.3348621085574867,-2.695423458323874,2019-01-19,25
1,SB,ZEF,3.0,12.0,7.163962042278184,34.0,1.0,78.0,13.0,4.0,0.6347168824268515,1.7842222142493287,2019-01-31,26
0,WM,ZEF,3.0,10.0,6.037063306905955,32.0,2.0,129.0,10.0,5.0,0.571936688050806,0.1936609029714671,2019-02-19,27
0,WM,HDO,4.0,9.0,6.70038168006508,40.0,1.0,163.0,5.0,4.0,0.6893071782917352,1.1299016744709411,2019-01-22,28
1,AM,HDO,4.0,12.0,7.700964719957336,29.0,1.0,92.0,17.0,2.0,0.5770265345429643,2.5421746871367388,2019-03-07,29
0,IB,POR,4.0,9.0,6.279450742321384,24.0,1.0,142.0,10.0,3.0,0.5055669279576988,0.5357786683129095,2019-01-25,30
0,WM,QHA,1.0,15.0,5.339550936345451,16.0,2.0,161.0,21.0,5.0,0.5662687282854543,-0.7908429889286173,2019-01-27,31
1,IB,ZEF,3.0,13.0,5.011594813827959,25.0,1.0,140.0,16.0,4.0,0.549765372974685,-1.2537366846081335,2019-01-30,32
1,IB,POR,3.0,11.0,4.997521081863089,43.0,1.0,113.0,19.0,4.0,0.459101901969419,-1.2736010547293968,2019-02-10,33
0,WM,ABD,3.0,12.0,4.736265040669614,35.0,2.0,160.0,15.0,5.0,0.4729151814610532,-1.642350915223913,2019-01-05,34
1,IB,ADC,2.0,11.0,6.675835852787452,31.0,1.0,71.0,8.0,5.0,0.642706047427837,1.0952564645726368,2019-03-05,35
1,IB,NAP,3.0,9.0,5.62628833950163,61.0,1.0,148.0,16.0,5.0,0.6107989681144942,-0.38612745802880233,2019-03-28,36
0,SB,ABD,3.0,13.0,4.600465647906292,45.0,2.0,149.0,15.0,4.0,0.48078900615887227,-1.8340249791343846,2019-03-04,37
1,SB,GHL,4.0,8.0,4.497793638755505,65.0,1.0,92.0,15.0,5.0,0.37774009905379985,-1.9789413947628636,2019-02-18,38
1,AM,QHA,3.0,11.0,6.375202297782936,42.0,1.0,59.0,14.0,5.0,0.4464355002643257,0.6709272090214187,2019-01-15,39
1,AM,ADC,3.0,9.0,8.044017355630416,53.0,1.0,125.0,15.0,3.0,0.7158184965506635,3.026376357531964,2019-02-11,40
1,WM,GLI,3.0,9.0,6.110246396384103,38.0,1.0,98.0,22.0,5.0,0.5245308193748416,0.29695518054049885,2019-01-27,41
1,AM,NAP,3.0,11.0,6.368861069577239,59.0,1.0,109.0,18.0,4.0,0.6035311702660868,0.6619768819570852,2019-01-14,42
1,IB,GHL,3.0,7.0,8.06467287187522,41.0,2.0,127.0,15.0,5.0,0.6226633850215345,3.055530587608016,2019-03-24,43
1,IB,HDO,4.0,10.0,5.465564794480724,60.0,1.0,101.0,13.0,3.0,0.47248903979470347,-0.6129807186611671,2019-01-27,44
1,WM,AML,3.0,12.0,6.133242410533706,28.0,1.0,52.0,11.0,5.0,0.6303605045582766,0.3294129065737742,2019-03-02,45
1,AM,ABD,3.0,9.0,6.328469926004645,35.0,1.0,61.0,21.0,6.0,0.3978654000293703,0.6049667990913723,2019-02-18,46
1,IB,ZEF,3.0,11.0,6.373210914062329,64.0,1.0,100.0,20.0,5.0,0.5692771819081552,0.66811647030774,2019-03-06,47
1,AM,NAP,3.0,13.0,5.271916414490475,46.0,1.0,33.0,15.0,5.0,0.39057112224464646,-0.8863057402766943,2019-01-05,48
1,AM,AML,4.0,10.0,5.725184868262102,41.0,1.0,120.0,9.0,4.0,0.4714001260247014,-0.24653994450290795,2019-02-16,49
1,IB,ZEF,2.0,7.0,6.415227949792568,56.0,2.0,90.0,16.0,7.0,0.4372371494496121,0.7274214187909971,2019-03-08,50
0,IB,HDO,2.0,9.0,6.666544469136847,60.0,2.0,67.0,16.0,6.0,0.4480209346770285,1.0821421403667353,2019-03-09,51
1,IB,ABD,3.0,11.0,4.192499296751773,46.0,2.0,71.0,10.0,5.0,0.2036290753711595,-2.409849118501475,2019-03-29,52
0,IB,POR,4.0,13.0,7.094087481488788,24.0,2.0,170.0,10.0,3.0,0.7153705530871909,1.6855977597659053,2019-03-18,53
1,IB,GHL,3.0,10.0,6.744430441891025,55.0,1.0,76.0,14.0,5.0,0.6841478851652594,1.1920743029164753,2019-03-06,54
1,IB,GLI,3.0,13.0,6.006695784172287,55.0,1.0,76.0,12.0,4.0,0.6372810858526423,0.1507986605503977,2019-02-10,55
1,AM,POR,2.0,10.0,4.910158675616365,44.0,2.0,49.0,11.0,7.0,0.336752488479455,-1.3969087300994292,2019-01-15,56
1,WM,HDO,3.0,10.0,5.347698203962117,39.0,1.0,86.0,20.0,5.0,0.38325610257940984,-0.7793435273914495,2019-01-23,57
1,AM,NAP,4.0,12.0,4.686743271014134,49.0,1.0,123.0,20.0,4.0,0.45875186225481623,-1.7122484210135553,2019-02-05,58
1,WM,ADC,3.0,16.0,7.940052130249384,37.0,1.0,99.0,7.0,2.0,0.7801145217108009,2.879634631750603,2019-01-06,59
1,AM,AML,3.0,13.0,4.856840072737383,32.0,1.0,109.0,22.0,4.0,0.4780770095619809,-1.4721652764497835,2019-02-24,60
1,WM,GHL,3.0,10.0,5.630935084241552,67.0,1.0,111.0,16.0,5.0,0.4948346566881929,-0.379568809789427,2019-03-11,61
1,SB,GLI,3.0,10.0,6.017592623351904,37.0,1.0,125.0,20.0,5.0,0.5656466142303507,0.16617900509270522,2019-01-24,62
1,AM,NAP,2.0,13.0,6.674427458072033,55.0,1.0,71.0,13.0,5.0,0.4892836784837287,1.0932685857375306,2019-02-04,63
0,AM,ZEF,3.0,7.0,6.795056210167286,43.0,2.0,115.0,19.0,6.0,0.5479458386075297,1.2635300476488007,2019-03-30,64
0,AM,ABD,3.0,13.0,6.607592798978133,60.0,2.0,191.0,9.0,2.0,0.6353075962160198,0.9989348007483343,2019-03-27,65
1,WM,ADC,3.0,12.0,5.824453515549413,36.0,2.0,150.0,23.0,5.0,0.61610271476616,-0.10642720425217855,2019-02-08,66
1,AM,AML,3.0,7.0,5.89362443815126,50.0,1.0,110.0,11.0,6.0,0.605098283421414,-0.008795899945538976,2019-02-05,67
0,WM,AML,3.0,9.0,5.528718600155337,47.0,2.0,136.0,9.0,5.0,0.4062328007833402,-0.5238422745286369,2019-01-29,68
1,WM,GLI,3.0,7.0,6.926352428740168,60.0,1.0,175.0,14.0,4.0,0.5718818108622223,1.4488481059835898,2019-01-29,69
1,WM,ZEF,3.0,9.0,8.340100881166801,44.0,1.0,129.0,14.0,3.0,0.7303208034345323,3.4442834736220065,2019-02-08,70
0,AM,ADC,3.0,12.0,5.191161419691493,53.0,2.0,151.0,22.0,5.0,0.37482349608553855,-1.0002873842238567,2019-02-24,71
1,WM,ABD,3.0,10.0,5.477590347033646,49.0,1.0,98.0,15.0,4.0,0.5868269372978634,-0.5960072515367263,2019-03-07,72
1,SB,NAP,3.0,11.0,7.658676241910859,54.0,1.0,90.0,17.0,3.0,0.6296132282866276,2.482486611374251,2019-02-24,73
0,SB,AML,2.0,10.0,6.159780332286557,33.0,2.0,137.0,22.0,5.0,0.47644632855197394,0.36686985838041797,2019-02-17,74
1,IB,HDO,3.0,9.0,7.129739019858507,40.0,2.0,123.0,10.0,5.0,0.6566419021441591,1.7359181264842878,2019-01-08,75
1,AM,HDO,3.0,13.0,7.294283125252149,42.0,1.0,108.0,14.0,5.0,0.7939472365744322,1.9681639173640746,2019-02-24,76
1,IB,GHL,3.0,8.0,6.523479489437781,46.0,1.0,186.0,8.0,5.0,0.7791844455544671,0.8802130631875662,2019-03-03,77
1,WM,POR,4.0,12.0,3.9077375969006725,43.0,1.0,70.0,8.0,4.0,0.3280903608093954,-2.811776042811377,2019-01-25,78
1,AM,ADC,4.0,10.0,2.7445316658258028,41.0,1.0,167.0,18.0,5.0,0.4808938713747775,-4.453583148403258,2019-02-14,79
1,WM,QHA,3.0,12.0,3.9915465104895547,37.0,1.0,173.0,21.0,4.0,0.49450293916709176,-2.6934839449409567,2019-02-07,80
0,WM,ZEF,3.0,14.0,4.863080587685945,53.0,2.0,209.0,14.0,3.0,0.5834558755001689,-1.463357101120387,2019-03-07,81
1,IB,HDO,2.0,12.0,6.771716715247997,58.0,1.0,71.0,10.0,5.0,0.7453234622586263,1.2305875156553443,2019-03-14,82
0,SB,ZEF,3.0,12.0,6.938851264338242,72.0,2.0,125.0,6.0,6.0,0.677440520365491,1.4664895885004277,2019-02-04,83
1,SB,HDO,4.0,9.0,4.972263148970823,18.0,1.0,92.0,20.0,5.0,0.4222905028626945,-1.3092513661551348,2019-02-24,84
1,IB,GLI,4.0,13.0,2.4224149486232607,58.0,2.0,150.0,27.0,4.0,0.22533029091722612,-4.908234814978215,2019-03-21,85
1,AM,NAP,3.0,6.0,5.87700503990901,28.0,1.0,133.0,17.0,6.0,0.5544086399717154,-0.032253350940114056,2019-03-13,86
1,SB,NAP,3.0,10.0,7.698965501781952,20.0,2.0,110.0,12.0,5.0,0.7971848196913849,2.539352890481232,2019-03-07,87
1,IB,AML,3.0,10.0,3.795615506019878,12.0,1.0,122.0,19.0,5.0,0.3843193503428461,-2.970030777062778,2019-03-14,88
1,WM,POR,4.0,13.0,7.682333752503734,41.0,1.0,151.0,6.0,1.0,0.691408412395646,2.515878006615939,2019-02-18,89
1,SB,AML,3.0,8.0,5.000988489316159,54.0,1.0,91.0,14.0,5.0,0.4139595834395057,-1.2687069821990313,2019-01-31,90
1,WM,AML,2.0,13.0,8.782883244969046,38.0,1.0,97.0,7.0,4.0,0.8327707446333259,4.069248676859526,2019-01-25,91
1,AM,ABD,3.0,11.0,5.698676850403454,53.0,1.0,74.0,17.0,5.0,0.42862134742926544,-0.2839546884556565,2019-01-01,92
1,WM,QHA,2.0,13.0,8.34271284872633,59.0,1.0,99.0,18.0,4.0,0.798337151142961,3.4479701354453747,2019-02-03,93
0,SB,POR,3.0,8.0,3.719822248110301,43.0,1.0,188.0,18.0,5.0,0.4627101445497736,-3.077009177075676,2019-02-22,94
1,AM,HDO,4.0,13.0,4.168796110582107,21.0,2.0,106.0,25.0,5.0,0.3273508037828205,-2.443304982539723,2019-03-05,95
1,AM,GLI,3.0,11.0,6.763761141190056,30.0,2.0,115.0,8.0,5.0,0.5755433512165533,1.2193586200071589,2019-03-26,96
0,IB,QHA,4.0,10.0,5.5187007820673335,43.0,2.0,174.0,11.0,3.0,0.48553017214251265,-0.5379819246800175,2019-03-04,97
1,WM,ABD,4.0,11.0,7.010864129680458,45.0,1.0,95.0,18.0,2.0,0.49969387614330923,1.5681321531180532,2019-02-05,98
0,AM,HDO,3.0,9.0,4.358064412230304,66.0,1.0,167.0,14.0,5.0,0.5021703845675262,-2.1761622228547095,2019-01-04,99
0,AM,NAP,3.0,10.0,4.445762171971674,32.0,2.0,149.0,13.0,5.0,0.4551401644993554,-2.052381212767508,2019-01-27,100
1,WM,GLI,3.0,12.0,6.359583670967646,45.0,2.0,130.0,15.0,5.0,0.6971811018661235,0.6488822969384511,2019-01-01,101
1,WM,NAP,4.0,12.0,6.737630655687165,38.0,1.0,44.0,16.0,5.0,0.5240773400150979,1.1824767441285085,2019-02-13,102
1,SB,GLI,4.0,9.0,7.341163739991817,22.0,1.0,126.0,16.0,4.0,0.6844786957568206,2.0343335648339576,2019-03-04,103
1,IB,POR,3.0,11.0,3.50575004077683,41.0,1.0,149.0,19.0,5.0,0.43969684591038544,-3.37916141144836,2019-01-07,104
1,WM,ABD,3.0,6.0,6.102477386349245,45.0,1.0,80.0,15.0,6.0,0.5167084771360151,0.28598961069779927,2019-03-03,105
1,AM,QHA,3.0,10.0,6.544032651200391,49.0,1.0,106.0,16.0,5.0,0.5849155976423936,0.9092228250214407,2019-03-27,106
0,IB,AML,4.0,11.0,4.685730673713285,24.0,1.0,214.0,10.0,3.0,0.5499207974037404,-1.713677651555821,2019-02-26,107
1,SB,ABD,3.0,13.0,6.117759462255872,44.0,1.0,118.0,17.0,4.0,0.6331826540294546,0.30755949797348525,2019-03-24,108
0,AM,GHL,3.0,12.0,7.320022924799066,34.0,2.0,131.0,9.0,4.0,0.6560680417793032,2.0044943595185343,2019-02-06,109
1,AM,GLI,4.0,6.0,3.2935318946366565,33.0,1.0,145.0,21.0,6.0,0.36521370519019036,-3.6786967309996554,2019-02-23,110
1,WM,ABD,4.0,8.0,3.50106098777868,40.0,1.0,117.0,19.0,6.0,0.3271980729793325,-3.3857797756822374,2019-02-10,111
1,WM,GHL,3.0,10.0,8.85153626084524,18.0,1.0,119.0,12.0,3.0,0.7917430945060321,4.166148981676309,2019-01-31,112
1,WM,AML,3.0,7.0,5.888863188418692,46.0,1.0,54.0,19.0,6.0,0.2937886336751941,-0.015516166266056342,2019-01-15,113
0,SB,QHA,4.0,7.0,7.094625365280328,48.0,2.0,189.0,8.0,4.0,0.6350139864039734,1.6863569558870224,2019-02-28,114
0,WM,AML,3.0,11.0,3.4422912039689266,47.0,2.0,126.0,15.0,5.0,0.2839067384863853,-3.4687303917986716,2019-02-12,115
1,WM,ADC,4.0,10.0,4.790066763428642,51.0,1.0,127.0,27.0,5.0,0.39085505082475835,-1.566412469279753,2019-03-18,116
1,AM,POR,2.0,14.0,6.645346667639708,57.0,1.0,113.0,10.0,4.0,0.7295315904399104,1.0522225017273674,2019-01-04,117
0,SB,POR,3.0,11.0,6.918719850804895,28.0,1.0,162.0,12.0,3.0,0.6088062322381169,1.4380751032388948,2019-01-21,118
1,WM,GHL,3.0,8.0,7.383803730351913,23.0,2.0,173.0,6.0,5.0,0.6979645859478857,2.0945177826799624,2019-03-23,119
1,WM,AML,4.0,9.0,7.280093609338946,30.0,1.0,175.0,13.0,2.0,0.6768986321512424,1.9481361239795643,2019-02-11,120
1,AM,GHL,3.0,9.0,3.867091405146625,17.0,1.0,135.0,21.0,5.0,0.3888372762425378,-2.8691461134534513,2019-02-04,121
0,IB,ZEF,1.0,15.0,5.837689368320933,42.0,2.0,144.0,19.0,6.0,0.7275845995876025,-0.08774545878620732,2019-01-16,122
1,AM,ZEF,3.0,14.0,7.56694076250549,29.0,1.0,137.0,10.0,3.0,0.8129322938554296,2.353006561540391,2019-03-26,123
1,IB,NAP,2.0,8.0,5.89722118334377,39.0,1.0,92.0,15.0,5.0,0.4052658085429984,-0.003719273652368904,2019-02-21,124
1,AM,ADC,4.0,13.0,4.127988155597564,25.0,1.0,136.0,17.0,4.0,0.4555157074776901,-2.500903373906577,2019-01-20,125
1,WM,AML,3.0,9.0,6.34574910802811,55.0,2.0,91.0,18.0,6.0,0.5054653585323688,0.6293555019573602,2019-02-23,126
0,IB,ADC,3.0,11.0,3.9209203433805904,53.0,1.0,182.0,16.0,4.0,0.4506669364198137,-2.7931692542249875,2019-02-23,127
0,AM,GHL,3.0,14.0,4.097138848361425,30.0,2.0,140.0,17.0,4.0,0.33586369912423064,-2.5444456311026675,2019-03-07,128
1,AM,GHL,3.0,11.0,6.433872928147432,42.0,1.0,58.0,12.0,6.0,0.7296335503249242,0.7537378749995158,2019-01-10,129
0,IB,HDO,4.0,12.0,3.9123514081783117,57.0,2.0,101.0,19.0,6.0,0.3167117379102254,-2.805263878510007,2019-02-14,130
1,SB,ZEF,3.0,9.0,6.359589866010263,42.0,1.0,121.0,10.0,5.0,0.6151556741873518,0.6488910409318562,2019-02-14,131
1,SB,QHA,4.0,15.0,4.820968363608093,32.0,1.0,100.0,23.0,5.0,0.5045939337387886,-1.5227964032045902,2019-01-31,132
0,IB,QHA,3.0,15.0,3.992005722064965,20.0,1.0,147.0,20.0,4.0,0.4276715911556063,-2.692835790725665,2019-02-19,133
1,AM,AML,3.0,14.0,5.175965564384719,41.0,1.0,88.0,10.0,3.0,0.3515816158905677,-1.0217355754268995,2019-02-10,134
1,AM,ZEF,3.0,11.0,6.309300386206885,17.0,1.0,139.0,12.0,3.0,0.6555791618246841,0.5779099505918064,2019-03-30,135
1,SB,QHA,3.0,14.0,7.918016670145408,36.0,1.0,93.0,10.0,3.0,0.7925394924398761,2.848532679802798,2019-01-07,136
1,SB,NAP,4.0,11.0,6.68542310966377,44.0,1.0,99.0,17.0,4.0,0.67535700638003,1.1087883990669258,2019-01-12,137
1,WM,ZEF,3.0,15.0,6.374332078240905,38.0,1.0,90.0,13.0,3.0,0.6036667372904437,0.6696989375783639,2019-03-23,138
1,SB,GHL,3.0,10.0,6.985339475360045,40.0,2.0,87.0,6.0,5.0,0.46953104046180066,1.5321053777109621,2019-03-18,139
1,AM,GLI,3.0,10.0,6.792366442703934,59.0,2.0,98.0,12.0,5.0,0.5456804091531158,1.2597335751448842,2019-03-31,140
1,AM,ABD,3.0,12.0,6.355343250555553,31.0,1.0,81.0,5.0,5.0,0.594853965318703,0.6428971552044864,2019-03-16,141
0,WM,AML,3.0,7.0,5.823932023592011,26.0,1.0,171.0,13.0,4.0,0.4174763022786171,-0.10716326411767552,2019-03-23,142
1,IB,ZEF,2.0,13.0,7.123874469288307,57.0,1.0,92.0,12.0,4.0,0.5956486158793453,1.7276406061071685,2019-01-19,143
1,AM,GLI,3.0,13.0,6.12482232143095,47.0,1.0,76.0,13.0,3.0,0.58145250038971,0.3175283711279764,2019-02-28,144
0,WM,ZEF,3.0,13.0,2.12301653138363,43.0,1.0,170.0,8.0,4.0,0.30589492268451973,-5.330820735231186,2019-01-21,145
0,WM,QHA,3.0,10.0,8.130495487477745,29.0,2.0,126.0,6.0,4.0,0.7040145778324159,3.148435923729375,2019-01-06,146
0,WM,POR,2.0,8.0,5.3456385634874355,39.0,2.0,145.0,22.0,6.0,0.4579133375294969,-0.7822506071061924,2019-02-04,147
1,WM,ABD,3.0,11.0,6.226364520164858,40.0,1.0,77.0,9.0,5.0,0.596755691804113,0.46085011575207835,2019-03-07,148
1,WM,QHA,3.0,10.0,8.396076793699866,34.0,1.0,180.0,13.0,3.0,0.8618699233076662,3.523290679898757,2019-03-14,149
1,SB,NAP,3.0,9.0,4.6616164764320205,43.0,1.0,96.0,14.0,5.0,0.4053628430419619,-1.7477136372608113,2019-01-02,150
0,WM,QHA,3.0,6.0,3.6900624732673464,54.0,1.0,140.0,20.0,5.0,0.29071966180459125,-3.1190136136871947,2019-03-15,151
1,SB,POR,3.0,14.0,5.779612582870904,55.0,1.0,79.0,15.0,4.0,0.5890987232647892,-0.16971794231170234,2019-03-07,152
1,SB,QHA,3.0,12.0,5.15115723793565,40.0,1.0,64.0,12.0,4.0,0.4506689036368827,-1.0567512898019866,2019-01-11,153
1,WM,AML,4.0,14.0,5.507683769485549,47.0,1.0,103.0,21.0,3.0,0.5271577146267756,-0.5535318879805426,2019-01-30,154
0,AM,ABD,3.0,10.0,6.212408703206173,13.0,1.0,137.0,22.0,5.0,0.558178405088254,0.4411521767758424,2019-01-04,155
1,WM,POR,3.0,12.0,7.407959104778943,53.0,1.0,90.0,17.0,4.0,0.6025255484540003,2.1286118878706795,2019-03-18,156
1,IB,ADC,3.0,9.0,4.6004017470819845,43.0,2.0,85.0,20.0,7.0,0.3471670945228392,-1.8341151719580273,2019-02-25,157
1,AM,ZEF,3.0,14.0,5.288491744034719,47.0,2.0,117.0,22.0,5.0,0.5230661512828892,-0.8629104900494879,2019-03-07,158
0,WM,POR,2.0,12.0,5.755414112194229,24.0,2.0,133.0,21.0,5.0,0.46949849176837033,-0.2038728757074667,2019-01-29,159
1,AM,HDO,2.0,14.0,7.071087878030728,49.0,1.0,156.0,3.0,2.0,0.6424276651314104,1.653134967602917,2019-03-28,160
1,AM,QHA,3.0,14.0,7.567309326353396,51.0,2.0,57.0,7.0,4.0,0.5613177528922902,2.3535267710133594,2019-02-16,161
1,AM,ABD,4.0,8.0,6.576583205782947,44.0,1.0,117.0,15.0,4.0,0.5964862810728175,0.9551663079223696,2019-03-23,162
0,IB,POR,3.0,10.0,5.3681542372449504,15.0,2.0,136.0,14.0,5.0,0.48164023837455544,-0.7504708575582189,2019-02-06,163
1,WM,GLI,3.0,8.0,6.368309264215642,40.0,2.0,128.0,19.0,6.0,0.5597652656744553,0.6611980362347829,2019-01-11,164
1,AM,AML,3.0,12.0,6.688988948203838,35.0,1.0,150.0,8.0,3.0,0.638671232217963,1.1138214021630042,2019-02-27,165
0,AM,ZEF,3.0,12.0,5.07006502558252,45.0,2.0,157.0,11.0,4.0,0.46130773000636865,-1.1712088994932555,2019-01-07,166
1,AM,QHA,4.0,10.0,7.004737275077657,48.0,1.0,120.0,9.0,3.0,0.544746526773875,1.5594844036928839,2019-01-30,167
1,SB,GHL,5.0,12.0,7.669620007784307,62.0,1.0,115.0,11.0,1.0,0.5718358177392051,2.497933190602364,2019-01-26,168
0,AM,GHL,3.0,11.0,5.218779469412525,53.0,2.0,106.0,10.0,6.0,0.5412378962069904,-0.9613058857090743,2019-03-10,169
0,AM,ABD,2.0,11.0,4.08247811553015,28.0,1.0,159.0,12.0,5.0,0.5034438808010567,-2.565138523644343,2019-03-16,170
1,SB,ZEF,4.0,7.0,4.217636356371974,48.0,1.0,76.0,19.0,6.0,0.2802400680735066,-2.374369413665378,2019-02-24,171
1,WM,NAP,3.0,11.0,7.594753493199713,21.0,2.0,121.0,9.0,4.0,0.6054656844471202,2.392262842530545,2019-02-15,172
1,WM,GLI,3.0,7.0,6.78175692964274,44.0,1.0,53.0,10.0,6.0,0.5244837529690154,1.2447587770756865,2019-03-17,173
1,AM,HDO,4.0,7.0,2.930578862248607,55.0,1.0,184.0,21.0,6.0,0.4316625702939054,-4.190986817949414,2019-01-24,174
0,SB,AML,3.0,11.0,3.9497397158437777,28.0,1.0,209.0,15.0,4.0,0.4785304330309568,-2.7524921486285283,2019-02-03,175
0,SB,AML,3.0,11.0,5.5625654727277,43.0,2.0,118.0,15.0,5.0,0.4971613100114752,-0.4760691034960396,2019-03-26,176
0,WM,HDO,2.0,11.0,5.4035229427194515,32.0,2.0,142.0,11.0,7.0,0.49212546890304687,-0.70054969535269,2019-02-02,177
1,WM,POR,3.0,5.0,5.4126140951846375,64.0,1.0,85.0,15.0,6.0,0.38991667005750624,-0.6877179874696588,2019-01-08,178
1,SB,QHA,4.0,12.0,7.676479810465,49.0,1.0,144.0,12.0,3.0,0.7198255001473213,2.507615459651415,2019-02-18,179
1,SB,GHL,3.0,12.0,5.8505789538534545,50.0,1.0,72.0,10.0,4.0,0.517885621996965,-0.06955245224275508,2019-01-29,180
1,SB,GHL,3.0,13.0,6.884138338817451,59.0,1.0,57.0,12.0,4.0,0.5058769158355347,1.3892650253444039,2019-01-22,181
1,SB,ADC,4.0,12.0,4.240127047074001,35.0,1.0,117.0,23.0,5.0,0.42676106831117827,-2.3426249264530954,2019-02-18,182
1,AM,NAP,3.0,12.0,6.699231560285514,47.0,1.0,143.0,8.0,3.0,0.6593565550575554,1.1282783378149568,2019-01-25,183
1,WM,AML,3.0,9.0,7.224873753212159,59.0,2.0,105.0,20.0,6.0,0.6299896447352246,1.8701960535786637,2019-03-11,184
0,IB,ZEF,3.0,13.0,6.216852429248557,39.0,2.0,115.0,11.0,4.0,0.5938647384833549,0.4474242742581416,2019-01-19,185
0,AM,AML,2.0,11.0,4.387804245523048,36.0,2.0,106.0,16.0,6.0,0.4101465393065896,-2.134185932745849,2019-01-02,186
1,IB,NAP,3.0,15.0,6.8736587905010555,36.0,1.0,73.0,12.0,4.0,0.6598699052671207,1.3744736660247743,2019-03-20,187
1,AM,AML,4.0,10.0,7.194727603628679,55.0,1.0,119.0,14.0,4.0,0.6774595974064571,1.8276462683083476,2019-02-02,188
0,AM,POR,3.0,7.0,5.201021345908583,35.0,2.0,146.0,15.0,6.0,0.39223958634446726,-0.9863705905664606,2019-02-09,189
1,IB,GLI,4.0,11.0,6.486656971872797,41.0,1.0,105.0,11.0,4.0,0.6875634360024593,0.8282399177892195,2019-02-21,190
1,SB,AML,3.0,8.0,5.495034190829885,43.0,1.0,119.0,17.0,6.0,0.5505875886688312,-0.5713861367982243,2019-03-14,191
